 401658409986861|10|2227|751
 401658409615068|07|2232|892
 401658409736547|02|2224|229
 401658409349176|04|2225|985
 401658409720768|02|2227|419
 401658409656011|08|2223|710
 401658409297595|03|2226|730
 401658409697132|05|2232|531
 401658409899609|11|2233|136
 401658409152717|04|2223|364
 401658409908283|04|2231|169
 401658409443583|07|2228|442
 401658409307258|09|2229|304
 401658409796830|05|2225|494
 401658409626751|02|2231|860
 401658409202824|05|2228|911
 401658409960712|07|2233|123
 401658409679012|02|2224|846
 401658409580593|10|2233|665
 401658409571612|07|2226|394
 401658409419276|01|2226|888
 401658409378243|09|2225|949
 401658409556978|08|2224|227
 401658409177004|12|2232|216
 401658409301164|05|2233|698
 401658409304947|02|2231|186
 401658409944445|01|2228|409
 401658409458255|01|2229|569
 401658409195018|12|2233|768
 401658409242473|04|2231|729
